,date,fiz_long,fiz_short,yur_long,yur_short,oi
255,2017-10-24,136582,367494,304523,73611,882210
256,2017-10-31,90706,523986,568416,135136,1318244
257,2017-11-07,73558,407675,492398,158281,1131912
258,2017-11-14,141817,322743,330179,149253,943992
259,2017-11-21,125914,324591,346270,147593,944368
260,2017-11-28,112477,349088,375573,138962,976100
261,2017-12-05,137685,277300,229129,89514,733628
262,2017-12-12,125942,365838,326461,86565,904806
263,2017-12-19,117784,252583,204489,69690,644546
264,2018-01-09,68106,273906,264774,58974,665760
265,2018-01-16,103174,342601,311338,71911,829024
266,2018-01-23,106242,359088,327412,74566,867308
267,2018-01-30,150033,288457,221087,82663,742240
268,2018-02-06,126526,251694,198699,73531,650450
269,2018-02-13,249192,142936,38332,144588,575048
270,2018-02-20,153793,192441,145192,106544,597970
271,2018-02-27,83434,183644,204914,104704,576696
272,2018-03-06,97116,172408,124890,49598,444012
273,2018-03-13,122070,143058,76703,55715,397546
274,2018-03-20,68329,348221,340900,61008,818458
275,2018-03-27,90295,362338,334787,62744,850164
276,2018-04-03,129620,179192,103215,53643,465670
277,2018-04-10,83228,201346,198325,80207,563106
278,2018-04-17,70748,213445,240873,98176,623242
279,2018-04-24,86255,289923,326946,123278,826402
280,2018-05-08,64144,213102,257788,108830,643864
281,2018-05-15,68728,269355,341031,140404,819518
282,2018-05-22,85728,304892,344982,125818,861420
283,2018-05-29,135956,179732,215585,171809,703082
284,2018-06-05,139945,152786,172480,159639,624850
285,2018-06-19,69978,203068,299629,166539,739214
286,2018-06-26,77884,218275,325088,184697,805944
287,2018-07-03,97624,192413,285061,190272,765370
288,2018-07-10,87545,245164,332772,175153,840634
289,2018-07-17,257676,107271,160769,311174,836890
290,2018-07-24,157531,162210,201405,196726,717872
291,2018-07-31,117845,144375,266987,240457,769664
292,2018-08-07,112181,144522,201422,169081,627206
293,2018-08-14,104957,134728,202970,173199,615854
294,2018-08-21,95914,176189,229571,149296,650970
295,2018-08-28,80071,305005,379166,154232,918474
296,2018-09-04,75009,282480,374065,166594,898148
297,2018-09-11,76683,277607,372659,171735,898684
298,2018-09-18,85014,285728,378486,177772,927000
299,2018-09-25,73558,329571,430966,174953,1009048
300,2018-10-02,58939,291236,414646,182349,947170
301,2018-10-09,76973,255879,363733,184827,881412
302,2018-10-16,156603,161784,210181,205000,733568
303,2018-10-23,221957,144104,176974,254827,797862
304,2018-10-30,182603,102670,125514,205447,616234
305,2018-11-06,277160,76632,96018,296546,746356
306,2018-11-13,403278,63729,95828,435377,998212
307,2018-11-20,374127,48131,88043,414039,924340
308,2018-11-27,323711,86709,125563,362565,898548
309,2018-12-04,248992,89090,138535,298437,775054
310,2018-12-11,324842,97896,177418,404364,1004520
